rev_id	original	corrected	errorCode	idx	teifile	Main_category	Subcategory
0-1	akureyri	Akureyri	lower4upper-proper	NA	texti014-2006.xml	orthography	capitalization
0-2	semsagt	sem sagt	merged-words	2-1	texti014-2006.xml	orthography	spacing
0-2	semsagt	sem sagt	nonword	2-1	texti014-2006.xml	orthography	nonword
0-3	hótel húsavík þannig	Hótel Húsavík og	lower4upper-proper	3-1	texti014-2006.xml	orthography	capitalization
0-3	hótel húsavík þannig	Hótel Húsavík og	lower4upper-proper	3-2	texti014-2006.xml	orthography	capitalization
0-3	hótel húsavík þannig	Hótel Húsavík og	conjunction	3-3	texti014-2006.xml	grammar	conjunction
0-4	inná ákureyri	á Akureyri	merged-words	4-1	texti014-2006.xml	orthography	spacing
0-4	inná ákureyri	á Akureyri	nonword	4-1	texti014-2006.xml	orthography	nonword
0-4	inná ákureyri	á Akureyri	extra-word	4-1	texti014-2006.xml	vocabulary	insertion
0-4	inná ákureyri	á Akureyri	lower4upper-proper	4-2	texti014-2006.xml	orthography	capitalization
0-4	inná ákureyri	á Akureyri	extra-accent	4-2	texti014-2006.xml	orthography	typo
0-5	þau voru þar	NA	extra-words	NA	texti014-2006.xml	vocabulary	insertion
0-6	mætti inna akureyri	kom til Akureyrar	wording	6-1	texti014-2006.xml	style	wording
0-6	mætti inna akureyri	kom til Akureyrar	extra-word	6-2	texti014-2006.xml	vocabulary	insertion
0-6	mætti inna akureyri	kom til Akureyrar	missing-prep	6-3	texti014-2006.xml	grammar	prep
0-6	mætti inna akureyri	kom til Akureyrar	lower4upper-proper	6-4	texti014-2006.xml	orthography	capitalization
0-7	Alexar	Alex	nominal-inflection	7-1	texti014-2006.xml	grammar	inflection
0-7	Alexar	Alex	case-prep	7-1	texti014-2006.xml	grammar	case
0-8	við	. Við	missing-period	NA	texti014-2006.xml	orthography	punctuation
0-9	þar	. Þar	missing-period	NA	texti014-2006.xml	orthography	punctuation
0-10	gylfi	Gylfi	lower4upper-proper	NA	texti014-2006.xml	orthography	capitalization
0-11	2	tveimur	number4word	NA	texti014-2006.xml	style	numbers
0-12	dj grill	DJ Grill	lower4upper-proper	12-1	texti014-2006.xml	orthography	capitalization
0-12	dj grill	DJ Grill	lower4upper-proper	12-2	texti014-2006.xml	orthography	capitalization
0-13	maður þurfti	það þarf	wording	13-1	texti014-2006.xml	style	wording
