rev_id	original	corrected	errorCode	idx	teifile	Main_category	Subcategory
0-1	ættla	ætla	extra-letter	1-1	texti010.xml	orthography	typo
0-1	ættla	ætla	pronun-writing	1-1	texti010.xml	orthography	spelling
0-1	ættla	ætla	nonword	1-1	texti010.xml	orthography	nonword
0-2	sinti	synti	i4y	2-1	texti010.xml	orthography	spelling
0-2	sinti	synti	nonword	2-1	texti010.xml	orthography	nonword
0-3	Urreyðavatnið	Urriðavatn	letter-rep	3-1	texti010.xml	orthography	typo
0-3	Urreyðavatnið	Urriðavatn	extra-letter	3-1	texti010.xml	orthography	typo
0-3	Urreyðavatnið	Urriðavatn	def4ind	3-1	texti010.xml	grammar	definitiveness
0-3	Urreyðavatnið	Urriðavatn	nonword	3-1	texti010.xml	orthography	nonword
0-3b	NA	,	missing-commas	3b-1	texti010.xml	orthography	punctuation
0-3c	NA	,	dep	3b-1	texti010.xml	other	miscellaneous
0-4	baths	Baths	lower4upper-proper	4-1	texti010.xml	orthography	capitalization
0-4	baths	Baths	foreign-name	4-1	texti010.xml	orthography	foreign
0-5	ævar	Ævar	lower4upper-proper	NA	texti010.xml	orthography	capitalization
0-6	ævar	Ævar	lower4upper-proper	NA	texti010.xml	orthography	capitalization
0-7	NA	:	missing-colon	NA	texti010.xml	orthography	punctuation
0-8	NA	?	missing-qm	NA	texti010.xml	orthography	punctuation
0-10	síni	sýni	í4ý	10-1	texti010.xml	orthography	spelling
0-10	síni	sýni	nonword	10-1	texti010.xml	orthography	nonword
0-11	segji “	segi : „	extra-letter	11-1	texti010.xml	orthography	typo
0-11	segji “	segi : „	pronun-writing	11-1	texti010.xml	orthography	spelling
0-11	segji “	segi : „	nonword	11-1	texti010.xml	orthography	nonword
0-11	segji “	segi : „	missing-colon	11-2	texti010.xml	orthography	punctuation
0-11	segji “	segi : „	wrong-quots	11-3	texti010.xml	orthography	punctuation
0-12	!!!!	!	extra-qm	NA	texti010.xml	orthography	punctuation
0-13	við mig hver	um hvor okkar	extra-words	13-1	texti010.xml	vocabulary	insertion
0-13	við mig hver	um hvor okkar	missing-prep	13-2	texti010.xml	grammar	prep
0-13	við mig hver	um hvor okkar	pro-inflection	13-3	texti010.xml	grammar	inflection
0-13	við mig hver	um hvor okkar	missing-word	13-4	texti010.xml	vocabulary	omission
0-14	“	NA	misplaced-quot	14-1	texti010.xml	orthography	punctuation
0-15	NA	“	dep	14-1	texti010.xml	other	miscellaneous
0-16	settningu	setningu	extra-letter	16-1	texti010.xml	orthography	typo
